ID|RawShares|RawUsage|NormShares|NormUsage
99895|1|0|0.000000|0.000000
192293|1|0|0.000000|0.000000
192294|1|0|0.000000|0.000000
178|1|0|0.000000|0.000000
4443|1|0|0.000000|0.000000
163744|0|0|0.000000|0.000000
163745|0|0|0.000000|0.000000
135460|0|0|0.000000|0.000000
135461|0|0|0.000000|0.000000
179|1|0|0.000000|0.000000
4444|1|0|0.000000|0.000000
190919|1|0|0.000000|0.000000
190920|1|0|0.000000|0.000000
155279|1|0|0.000000|0.000000
155280|1|0|0.000000|0.000000
139894|0|0|0.000000|0.000000
139895|0|0|0.000000|0.000000
57428|0|0|0.000000|0.000000
57429|0|0|0.000000|0.000000
137531|0|0|0.000000|0.000000
137532|0|0|0.000000|0.000000
96011|0|0|0.000000|0.000000
96012|0|0|0.000000|0.000000
192027|1|0|0.000000|0.000000
192028|1|0|0.000000|0.000000
139378|1|0|0.000000|0.000000
139379|1|0|0.000000|0.000000
64629|1|0|0.000000|0.000000
64630|1|0|0.000000|0.000000
105328|1|0|0.000000|0.000000
105329|1|0|0.000000|0.000000
163268|182881|3573702323|0.001648|0.000059
163269|1|783|0.000000|0.000000
188336|1|0|0.000000|0.000000
188337|1|0|0.000000|0.000000
54143|1|0|0.000000|0.000000
54144|1|0|0.000000|0.000000
179882|1|0|0.000000|0.000000
179883|1|0|0.000000|0.000000
54956|0|0|0.000000|0.000000
54958|0|0|0.000000|0.000000
64887|0|0|0.000000|0.000000
64890|0|0|0.000000|0.000000
57615|1|0|0.000000|0.000000
57616|1|0|0.000000|0.000000
104624|1|0|0.000000|0.000000
104625|1|0|0.000000|0.000000
80259|1|579114371|0.000000|0.000010
80260|11617|200385503|0.000105|0.000003
179153|1|0|0.000000|0.000000
179154|1|0|0.000000|0.000000
178659|1|143|0.000000|0.000000
178660|1|506454|0.000000|0.000000
182032|1|0|0.000000|0.000000
182033|1|0|0.000000|0.000000
182|1|6209827422|0.000000|0.000103
4447|11617|3584741982|0.000105|0.000059
183|1|0|0.000000|0.000000
4448|1|291892|0.000000|0.000000
110706|1|0|0.000000|0.000000
